ticker,name,company_id,publisher_status_id,company_type_id,industry_groups_id,company_nature_id,created_at,audited
صنایع پلیمر گچساران,صنایع پلیمر گچساران,811176.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع پوشش ایران,صنایع پوشش ایران,810643.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع پیشرفته رضوی,صنایع پیشرفته رضوی,812193.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع تجهیزات پارس سارایه,صنایع تجهیزات پارس سارایه,811455.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع تکمیلی مارون,صنایع تکمیلی مارون,811173.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع چرم زوک,صنایع چرم زوک,810733.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع خودرو سازی کرمان,صنایع خودرو سازی کرمان,771008.0,4,-1,77,1000000,2025-10-29 09:11:47,False
صنایع دامپروری و لبنی رضوی,صنایع دامپروری و لبنی رضوی,811663.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع ریخته گری ایران خودرو,صنایع ریخته گری ایران خودرو,812063.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع سیم لاکی اشراق,صنایع سیم لاکی اشراق,811069.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع سیمان شهرکرد,صنایع سیمان شهرکرد,811636.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع سیمان گیلان سبز,صنایع سیمان گیلان سبز,811459.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع شیمیای آریا سولار,صنایع شیمیایی آریا سولار,811174.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع شیمیای نگین سنقر,صنایع شیمیایی نگین سنقر,811175.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع شیمیایی پترو ثمین سپاهان,صنایع شیمیایی پترو ثمین سپاهان,811340.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع غذایی ترچین طبخ ایرانیان,مدیریت واگذاری پویا,810520.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع غذایی خمیرمایه امید لرستان,صنایع غذایی خمیرمایه امید لرستان,810693.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع غذایی دریاچه گهر لرستان,صنایع غذائی دریاچه گهر لرستان,810707.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
نان,صنایع غذایی رضوی,424154.0,1,1,42,1000000,2025-10-29 09:11:47,False
صنایع غذایی فراز نمونه قشم,صنایع غذایی فراز نمونه قشم,811377.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع غذایی مهر شهر,صنایع غذایی مهر شهر,811482.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع غذایی کوثر به چین سامین,صنایع غذایی کوثر به چین سامین,810900.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع فن آوری نور ساخت اترک,صنایع فن آوری نور ساخت اترک,812339.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع فولاد رهام پارس,صنایع فولاد رهام پارس,811964.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع فولاد کاوه شرق,صنایع فولاد کاوه شرق,811458.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع فولاد کاویان گهر سیرجان,صنایع فولاد کاویان گهر سیرجان,812232.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع فولاد کردستان,صنایع فولاد کردستان,811851.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع لایروبی ترانشه,صنایع لایروبی ترانشه پارس تتیس,791293.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع لنت پارسیان پیشرو,صنایع لنت پارسیان پیشرو,811889.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع ماشین ابزار ایران خودرو,صنایع ماشین ابزار ایران خودرو,811916.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع ماشینهای الکتریکی جوین,صنایع ماشینهای الکتریکی جوین,810902.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع مرکزآموزش و تحقیقات صنعتی ایران,مرکز اموزش وتحقیقات صنعتی ایران,810737.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع مس پارسیان ایرانیان,صنایع مس پارسیان ایرانیان,812355.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع معادن و عمران رضوی,صنایع معادن و عمران رضوی,811415.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
